FRIDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Venues/time,08:00-8:50,08:55-09:45,09:50:-10:40,10:45-11:35,11:40-12:30,12:35-1:25,1:30-2:20,2:25-3:15,3:20-4:05
CLASSROOMS,,,,,,,,,
E-1 Academic Block I (50),,,"Reserved for Mr Aashir
Mehboob Nov 21 ",,,,,,
E-2 Academic Block I (50),,,,,,,,,
E-3 Academic Block I (50),,,,Reserved for Ms Zainab Nov 21,,,,,
E-4 Academic Block I (50),,"DS BSE-3A
 Dr. Anam Qureshi","DS BSE-3B
 Dr. Anam Qureshi","IT in Business 
  BSBA-1A
 Alina Arshad",,,,,
E-5 Academic Block I (50),,"FOA BSFT-1B
 Dr. Mohsin Ali",,"PF BAI-1B
Syed Faisal Ali","                ME  BSBA-3A
               Michael Simon","                ME  BSBA-3A
               Michael Simon",,,
E-6 Academic Block I (50),"DAB2 BSBA-3A
Dr. Anwar Mughees","DAB2 BSBA-3A
Dr. Anwar Mughees","Discrete BCS-3B
Shoaib Raza","Discrete BCS-3J        
Shoaib Raza",,,"Discrete BCS-3D
Shoaib Raza","Discrete BCS-3G
Shoaib Raza",
R-11 Academic Block I (50),,"Psych BSFT-3A
Aqsa Fayyaz ","CCE BSBA-3A
Dr. Wajiha Raheeq","OS BCS-5A
Minhal Raza","OS BCS-5A
Minhal Raza","OS BCS-5A
Minhal Raza",,,
R-12 Academic Block I (70),,,,"Discrete BCS-3H
Dr. Ghufran Ahmed","Discrete BCS-3H
Dr. Ghufran Ahmed",,,,
R-109 Academic Block I (50),Reserved for TGD TLC Till 21st November,,,,,,,,
A-1 Academic Block II (50),"CCE BSFT-3A
Dr. Wajiha Raheeq","TOA BCS-3H
Bakhtawar Abbasi","FA BSFT-3A
Shoaib Anwer ","BF BSFT-3A
Shoaib Anwar ","BF BSFT-3A
Shoaib Anwar ",,"FOM BSBA-1B 
 Dr. Nazia Nazeer","Entrep BSFT-5A 
Dr. Nazia Nazeer",
A-2Academic Block II (50),,"TOA BCS-3A
 Ubaidullah ",,Reserved for Arabic Language Class       Dr Shahzad Shaikh,"BM1 BSFT-1A 
 Dr. Khusro Mian","BM1 BSFT-1C
Dr. Khusro Mian",,"AP BCY-1B
Javed Qureshi",
A-3 Academic Block II (50),"Macro Eco BSFT-5A
Michael Simon","Macro Eco BSFT-5A
Michael Simon","TOA BCS-3G
Bakhtawar Abbasi","Entrep BSFT-5A 
Dr. Nazia Nazeer","BE BSFT-5A
Dr. Anwar Mughees",Reserved for Atifa Batool till December,,,
A-4 Academic Block II (50),Reserved,,,,,,,,
A-5 Academic Block II (50),,"BM2 BSFT-3B
Muhammad Amjad ","Eng-1 BSFT-1A
 Sharmeen Ismail","AP BCY-1A
Javed Qureshi ","Discrete BCS-3E
Bakhtawar Abbasi",,"OOP BCS-3A
Nida Munawar",,
A-6 Academic Block II (50),"BF BSFT-3B
Zehra  ","FOA BSFT-1D
Zehra","OOP BCS-3B
Sarah Ahmed","Psych BSFT-3B
Aqsa Fayyaz ",,"IOOP BSFT-3B
Nida Munawar ",,,
A-7 Academic Block II (50),"BM1 BSBA-1A
 Rabia Sagheer","Psych BSFT-3C
Faiza Iqbal",,"BF BSFT-3C
  Jahangir ","CCE BSFT-3B
Dr. Wajiha Raheeq","CCE BSFT-3C
Dr. Wajiha Raheeq",Reserved for Arabic Language Class Mr Abdullah Siddiqui,"BF BSFT-3C
  Jahangir ",
A-8 Academic Block II (53),"BM2 BSFT-3C
Muhammad Amjad ","TOA BCS-3E
Abeeha Sattar ",,"TOA BCS-3B
 Ubaidullah",,"MM BSFT-1D
Asiya Zaheer",,,"FOA BSFT-1E
Aleena Fayyaz "
B-9 Academic Block II (53),"FOA BSFT-1A
 Muhammad Ahsan","IST BSFT-1A
 Muhammad Hasham","IST BSFT-1C
 Muhammad Hasham","FOA BSFT-1C
 Muhammad Ahsan","PF BDS-1A
Talha Shahid",,,"BM1 BSFT-1E
 Rabia Sagheer",
B-10 Academic Block II (53),,"Intro to D. Sci BDS-3B
Mahrukh Khan","Intro to D. Sci BDS-3B
Mahrukh Khan","MM BSFT-1E
Museara Bhutto","Eng-1 BSFT-1D
 Sharmeen Ismail","Eng-1 BSFT-1E
 Sharmeen Ismail",,,
B-11 Academic Block II (53),,"FOA BSBA-1A
 Dr. Sarfaraz Ahmed","FOM BSBA-1A
 Dr. Nazia Nazeer","IST BSFT-1D
Muhammad Hasham","IST BSFT-1B
 Muhammad Hasham",,,,
C-12 Academic Block II (50),,OODS BSEE-3B                                                 Dr. Burhan Khan,OODS BSEE-3B                                                 Dr. Burhan Khan,,EMT BSEE-5AB Dr. Burhan Khan,,,,
C-13 Academic Block II (50),ENG BSCE-1B + BSEE-1C                                                Ms. Tahira,MPI BSEE-5AB                                                 Engr. Haris Mohsin,ICT BSCE-1B + BSEE-1C                                                Engr. Asim Mehmood,PF BSEE-3AB                                                 Engr. Haris Mohsin,PF BSEE-3AB                                                 Engr. Haris Mohsin,,,ICP BSEE-1B                                                 Dr. Shahnawaz,ICP BSEE-1B                                                 Dr. Shahnawaz
C-14 Academic Block II (50),MVC BSEE-3B                                                 Dr. Atif Saleem,MVC BSEE-3A                                                 Dr. Atif Saleem,MVC BSEE-3A                                                 Dr. Atif Saleem,DSA BSEE-5AB                                                Engr. Asim Mehmood,DSA BSEE-5AB                                                Engr. Asim Mehmood,,"Ethics BCS-1N1
Javeriya Ahmed",,"Ethics BCS-1N1
Javeriya Ahmed"
C-15 Academic Block II (50),ENG BSEE-1B                                                Ms. Huma Hafeez,ENG BSEE-1B                                                Ms. Huma Hafeez,ENG BSEE-1A                                                Ms. Huma Hafeez,,ENG BSCE-1A                                                Ms. Maimoona,ENG BSCE-1A                                                Ms. Maimoona,DCNet BSEE-5B                                  Engr. Naveed,DCNet BSEE-5B                                  Engr. Naveed,DCNet BSEE-5B                                  Engr. Naveed
C-16 Academic Block II (50),"Psych BCS-3D (E,F)
Faiza Iqbal","LA BCS-3C
Dr. Fahad Riaz","Discrete BSE-3A
Hira Tunio","Discrete BSE-3A
Hira Tunio",,,,,
