THURSDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Venues/time,08:00-8:50,08:55-09:45,09:50:-10:40,10:45-11:35,11:40-12:30,12:35-1:25,1:30-2:20,2:25-3:15,3:20-4:05
CLASSROOMS,,,,,,,,,
E-1 Academic Block I (50),,"IS BCS-7M
Hira Tunio","C. Const.  BCS-7K
Zain ul Hasan","PPIT BCS-7B
Aashir Mehboob","C. Const.  BCS-7B
Shahar Bano","C. Const.  BCS-7H
Syed Faisal Ali","IS BCS-7F
Rabia Ahmed Ansari","C. Const.  BCS-7F
Shahar Bano",
E-2 Academic Block I (50),,"IS BCS-7B
Dr. Shakil","IS BCS-7D
Usama Antuley","PPIT BCS-7D
Anaum Hamid","PPIT BCS-7L
Anaum Hamid",,"C. Const.  BCS-7D
Anaum Hamid","IS BCS-7L
Usama Antuley",
E-3 Academic Block I (50),,"PPIT BCS-7C
Anaum Hamid","IS BCS-7C
Yusra Kaleem","SQE BSE-5A
Rubab Manzar","C. Const.  BCS-7E
Zain ul Hasan","PPIT BCS-7J	
Syed Muhammad Saad (VF)","C. Const.  BCS-7E
Zain ul Hasan",,"PDC BCS-7C
Dr. Nadeem Kafi"
E-4 Academic Block I (50),,"PPIT BCS-7E
Yusra Kaleem","IS BCS-7E
Shaheer Khan","C. Const.  BCS-7F
Shahar Bano","C. Const.  BCS-7G
Zulfiqar Ali",,,,
E-5 Academic Block I (50),,"CN BCS-5H
Dr. Nadeem Kafi","PPIT BCS-7G
Bilal Ahsan","Entrep BAI-7A
Umer Farooq","IS BCS-7K
Rabia Ahmed Ansari","C. Const.  BCS-7C
Zulfiqar Ali","TBW BCY-5B
Atifa Batool","TBW BCY-5B
Atifa Batool",
E-6 Academic Block I (50),"CN BCS-5C
Dr. Farrukh Salim","SQE BSE-5A
Rubab Manzar","C. Const.  BCS-7J        
Shahar Bano","Entrep BAI-7B
Jahangir","PPIT BCY-7B
Rabia Ali Khan (VF)","DLD BCS-3A
Dr. Rabia Tabassum ",,,
R-11 Academic Block I (50),"IA BCY-7A
Ali Naseer ","PPIT BCS-7A
Aashir Mehboob",,"DLD BCS-3A
Dr. Rabia Tabassum ","OOP BCS-3A
Nida Munawar","OOP BCS-3A
Nida Munawar",,,
R-12 Academic Block I (70),"NLP BAI-7A
Saeeda Kanwal","PPIT BSE-7A
Tahira Iftikhar (VF)","PPIT BCS-7F
Tahira Iftikhar (VF)","PPIT BCS-7H
Saeeda Kanwal ","NLP BAI-7C
Saeeda Kanwal",,,,
R-109 Academic Block I (50),Reserved for TGD TLC Till 21st November + Thursday November 27 FES Ignite ,,,,,,,,
A-1 Academic Block II (50),"PPIT BCS-7M
Asif Fazwani (VF)","PPIT BCY-7A
Asif Fazwani (VF)","IS BSE-7A
Dr. Aqsa Aslam","PPIT BCY-7B
Rabia Ali Khan (VF)","CV BAI-7A
Saif ur Rehman","Enter BAI-7B
Jahangir","AP BCY-1A
Javed Qureshi ","AP BCY-1B
Javed Qureshi",
A-2Academic Block II (50),"CV BAI-7C
Bilal Ahsan","PPIT BSE-7B
Rabia Ali Khan (VF)","IS BSE-7B
Hira Tunio","FSPM BSE-7A
Minhal Raza","FSPM BSE-7B
Minhal Raza","CN BCS-5E
Kashan Hussain","CN BCS-5E
Kashan Hussain",,
A-3 Academic Block II (50),"SSD BCY-7B
Abeer Gauher","PDC BCY-7B
Farooq Zaidi","IA BCY-7B
Ali Naseer","IS BCS-7J	
Yusra Kaleem","BM1 BSFT-1B
 Dr. Khusro Mian","Eng-1 BSFT-1C
Reema Brohi",,"IST BSFT-1E
Farhan Ali Memon",
A-4 Academic Block II (50),Reserved,,,,,,,,
A-5 Academic Block II (50),"CB BSBA-5A
 Umer Farooq","NLP BAI-7B
Saeeda Kanwal","PDC BCY-7A
Farooq Zaidi","Entrep BAI-7C
 Michael Simon","BM1 BSBA-1A
 Rabia Sagheer","DCB BSFBA-7A
 Dr. Mushtaq Ahmed",,"ME BSFT-3C
 Museara Bhutto",
A-6 Academic Block II (50),"FE BCS-1A
Khadija Shireen","FM BSBA-5A
Muhammad Ahsan","BE BSBA-5A
 Dr. Mushtaq Ahmed","IS BCS-7G
Dr. Nadeem Kafi","BM2 BSFT-3C
Muhammad Amjad ","BM2 BSFT-3B
Muhammad Amjad ",,"FE BCS-1B
Khadija Shireen","FE BCS-1B
Khadija Shireen"
A-7 Academic Block II (50),"PF BAI-1C
Talha Shahid","ME BSFT-3B
 Dr. Mushtaq Ahmed",Reserved for Arabic Language Class Mr Abdullah Siddiqui,"PPIT BCS-7K
Syed Muhammad Saad (VF)","IT in Business 
  BSFT-1E
 Alina Arshad","IT in Business 
  BSBA-1A
 Alina Arshad","IT in Business 
  BSFT-1E
Alina Arshad",Reserved for Ms Asiya Zaheer Nov 20 BSBA-7A,
A-8 Academic Block II (53),"BM2 BSFT-3A
Muhammad Amjad ","ME BSFT-3A
 Michael Simon","SDA BCS-5H
Engr. Abdul Rahman","BF BSFT-3A
Shoaib Anwar ","FABSFT-3A
Shoaib Anwar ","FA BSFT-3A
Shoaib Anwer ","BM2 BSFT-3A
Muhammad Amjad ","Eng-1 BSFT-1B
Reema Brohi",
B-9 Academic Block II (53),"IST BSBA-1A
 Uzair Siddiqui","FOA BSBA-1A
 Dr. Sarfaraz Ahmed","IST BSBA-1A
 Uzair Siddiqui",,"TBW BSE-5A
Atifa Batool","BM1 BSFT-1D
 Ashad Ali",,"FOA BSFT-1C
 Muhammad Ahsan",
B-10 Academic Block II (53),"BM1 BSFT-1E
 Rabia Sagheer","SDA BCS-5C
Shaikh Umair (Visiting)","MM BSFT-1E
  Museara Bhutto","FM BSBA-5A
Muhammad Ahsan ","IT in Business 
  BSFT-1A
 Ali Asad Shah","IT in Business 
  BSFT-1B 
 Ali Asad Shah",,"IOOPBSFT-3B
Nida Munawar ","IOOPBSFT-3A
Nida Munawar "
B-11 Academic Block II (53),"FOA BSFT-1A
 Muhammad Ahsan","BM1 BSFT-1A 
 Dr. Khusro Mian","MM BSFT-1A
 Asiya Zaheer",,,,"MM BSFT-1D
 Asiya Zaheer",,"FE BCY-1A
Mariam Aftab"
