TUESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Venues/time,08:00-8:50,08:55-09:45,09:50:-10:40,10:45-11:35,11:40-12:30,12:35-1:25,1:30-2:20,2:25-3:15,3:20-4:05
CLASSROOMS,,,,,,,,,
E-1 Academic Block I (50),,"PPIT BCS-7M
Asif Fazwani (VF)","IS BCS-7H
Dr. Aqsa Aslam","IS BSE-7A
Dr. Aqsa Aslam","DLP BCS-7B
Dr. Maria","DLP BCS-7B
Dr. Maria","PPIT BCS-7C
Anaum Hamid","Intro. to SE BSE-3B
Rubab Manzar","C. Const.  BCS-7E
Zain ul Hasan"
E-2 Academic Block I (50),"DAA BCS-5F
Sandesh Kumar","C. Const.  BCS-7K
Zain ul Hasan","IS BCS-7B
Dr. Shakil","IS BSE-7B
Hira Tunio","ST BCS-7B
Alina Arshad","ST BCS-7B
Alina Arshad","Reserved for Mr Javed Qureshi
Nov 18 AP Sec BCY - 1B","Psych BCS-7A
Kauser Malik",
E-3 Academic Block I (50),"PDC BCS-7C
Dr. Nadeem Kafi","GT BCS-5A (A-E)
Moheez-UR-Rahim","IS BCS-7C
Yusra Kaleem","PPIT BCY-7A
Asif Fazwani (VF)","Discrete BDS-3A
Dr. Fahad Samad","Psych BCS-7A
Kauser Malik",,"C. Const.  BCS-7C
Zulfiqar Ali","C. Const.  BCS-7G
Zulfiqar Ali"
E-4 Academic Block I (50),"GenAI BAI-7A
Omer Qureshi","WP BCS-5A (A-E)
Ali Fatmi","PPIT BCS-7D
Anaum Hamid","C. Const.  BCS-7D
Anaum Hamid","GenAI BAI-7B
Omer Qureshi","GenAI BAI-7B
Omer Qureshi","C. Const.  BCS-7K
Zain ul Hasan","IS BCS-7K
Rabia Ahmed Ansari",
E-5 Academic Block I (50),"DAA BCS-5A
Muhammad Kashif","DBS BCS-5F
Hajra Ahmed","IS BCS-7M
Hira Tunio","NLP BAI-7B
Saeeda Kanwal","CN BCS-5C
Dr. Farrukh Salim","IA BCY-7A
 Ali Naseer","PPIT BCS-7G
Bilal Ahsan","C. Const.  BCS-7F
Shahar Bano","PPIT BCS-7L
Anaum Hamid"
E-6 Academic Block I (50),"CN BCS-5B
Dr. Ghufran Ahmed","FSPM BCS-5A (A-E)
Ubaid Aftab","IS BCS-7F
Rabia Ahmed Ansari","GT BCS-5B (F-J)
Moheez-UR-Rahim","GT BCS-5B (F-J)
Moheez-UR-Rahim","DBS BCS-5E
Basit Jasani","PPIT BCS-7H
Saeeda Kanwal ","IS BCS-7G
Dr. Nadeem Kafi",
R-11 Academic Block I (50),"DAA BCS-5C
Dr. Nasir Uddin","OR BCS-5A (All)
Urooj","Discrete BDS-3B
Dr. Fahad Samad","FSPM BCS-5B (F-K)
Ubaid Aftab","FSPM BCS-5B (F-K)
Ubaid Aftab","COAL BCS-3J	
Dr. Rabia Tabassum ","C. Const.  BCS-7B
Shahar Bano","COAL BCS-3E
Dr. Rabia Tabassum ",
R-12 Academic Block I (70),"DLP BCS-7A
Dr. Maria","RS BCS-5A (A-E)
Dr. Farrukh Shahid","IS BCS-7A
Dr. Nadeem Kafi","IS BCS-7A
Dr. Nadeem Kafi","C. Const.  BCS-7A
Syed Faisal Ali","DBS BCS-5J	
Dr. Zulfiqar Ali Memon","PPIT BCS-7A
Aashir Mehboob","NLP BAI-7C
Saeeda Kanwal",
R-109 Academic Block I (50),Reserved for TGD TLC Till 21st November + Reserved for 2 Dec PROCOM Session + 25 Nov Procom,,,,,,,,
A-1 Academic Block II (50),"ML BSE-5A
Minhal Raza","PPIT BCS-7F
Tahira Iftikhar (VF)","PPIT BSE-7A
Tahira Iftikhar (VF)","CV BAI-7A
Saif ur Rehman","Intro. to SE BSE-3A
Rubab Manzar","DAA BCY-5A
Dr. Kamran","PDC BCY-7A
 Farooq Zaidi","DBS BCS-5A
Hajra Ahmed","CN BCS-5A
Dr. Farrukh Salim"
A-2Academic Block II (50),"TOA BCS-3H
Bakhtawar Abbasi","DAA BCS-5J        
Fahad Sherwani","PPIT BSE-7B
Rabia Ali Khan (VF)","CV BAI-7C
Bilal Ahsan","Discrete BCS-3F
Dr. Nouman Durrani",,"IA BCY-7B
 Ali Naseer","CN BCS-5B
Dr. Ghufran Ahmed","DAA BCS-5B
Fahad Sherwani"
A-3 Academic Block II (50),"COAL BCS-3D
Waseem Rauf ","TBW BSE-5A
Atifa Batool","NLP BAI-7A
Saeeda Kanwal","SQE BSE-5A
Rubab Manzar","TOA BCS-3G
Bakhtawar Abbasi","KRR BAI-5A
Muhammad Rafi","TOA BCS-3B
 Ubaidullah","CAL BDS-1A
Jamil Usmani","DAA BCY-5A
Dr. Kamran"
A-4 Academic Block II (50),Reserved,,,,,,,,
A-5 Academic Block II (50),"Psych BCS-3A (A,B)
Aqsa Fayyaz","DS BCS-3A
 Dr. Jawwad Shamsi","DAA BCS-5E
Muhammad Kashif","DBS BCS-5C
Atiya Jokhio","DBS BCY-5A
Atiya Jokhio","DS BSE-3A
 Dr. Anam Qureshi","DS BSE-3B
 Dr. Anam Qureshi","CN BCS-5J        
Kashan Hussain","Enter BAI-7C
 Michael Simon"
A-6 Academic Block II (50),"Psych BCS-3B (B,C)
Faiza Iqbal","Intro. to SE BSE-3B
Rubab Manzar","DAA BCS-5H
Sandesh Kumar",,"LA BCS-3C
Dr. Fahad Riaz","TOA BCS-3K
Shahar Bano ","Discrete BCY-3A
Mahrukh Khan","PDC BCY-7B
 Farooq Zaidi","COAL BDS-3B
Dr. Muhammad Adeel"
A-7 Academic Block II (50),"Socio BCS-3A (A,B, C)
Kauser Malik","MFM BSBA-7A
Dr. Mohsin Ali ","CV BAI-7B
Bilal Ahsan","PST BSBA-7A
Dr. Shahnawaz","DCB BSBA-7A
Dr. Mushtaq Ahmed","FSPM BSE-7A
Minhal Raza","FSPM BSE-7B
Minhal Raza","DBS BCY-5B
Ali Naseer Shah","IS BCY-5B
Nouman Rajput"
