WEDNESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Venues/time,08:00-8:50,08:55-09:45,09:50:-10:40,10:45-11:35,11:40-12:30,12:35-1:25,1:30-2:20,2:25-3:15,3:20-4:05
CLASSROOMS,,,,,,,,,
E-1 Academic Block I (50),,"PPIT BCS-7H
Saeeda Kanwal ","DLP BCS-7B
Dr. Maria","PPIT BCS-7L
Anaum Hamid","IS BCS-7G
Dr. Nadeem Kafi","CV BAI-7C
Bilal Ahsan","PDC BCS-7C
Dr. Nadeem Kafi","Intro. to SE BSE-3A
Rubab Manzar",
E-2 Academic Block I (50),"PPIT BSE-7A
Tahira Iftikhar (VF)","ST BCS-7A
Alina Arshad","ST BCS-7B
Alina Arshad","IS BCS-7D
Usama Antuley","ST BCS-7A
Alina Arshad","C. Const.  BCS-7J        
Shahar Bano","C. Const.  BCS-7B
Shahar Bano","PPIT BCS-7B
Aashir Mehboob",
E-3 Academic Block I (50),"PPIT BCS-7M
Asif Fazwani (VF)","ICC BSE-7A
Sudais","ICC BSE-7B
Sudais","C. Const.  BCS-7H
Syed Faisal Ali","ICC BSE-7A
Sudais","C. Const.  BCS-7G
Zulfiqar Ali","Intro. to SE BSE-3A
Rubab Manzar","C. Const.  BCS-7C
Zulfiqar Ali","COAL BDS-3A
Dr. Muhammad Adeel"
E-4 Academic Block I (50),"PFB BSBA-3A
Madiha Aslam (VF)","GenAI BAI-7A
Omer Qureshi","GenAI BAI-7B
Omer Qureshi","IS BCS-7B
Dr. Shakil","GenAI BAI-7A
Omer Qureshi","Reserved for Mr Abdul Rehman
Nov 19 SDA 5A","PPIT BCS-7C
Anaum Hamid","C. Const.  BCS-7D
Anaum Hamid","PPIT BCS-7D
Anaum Hamid"
E-5 Academic Block I (50),"SSD BCY-7A
Abuzar Zafar","IOOP BSFT-3C
Madiha Aslam (VF)","COAL BCS-3B
 Atiya Jokhio ","DS BCS-3J	
Mubashra Fayyaz ","IS BCS-7J	
Yusra Kaleem","C. Const.  BCS-7H
Syed Faisal Ali",,,
E-6 Academic Block I (50),"CV BAI-7B
Bilal Ahsan","C. Const.  BCS-7J        
Shahar Bano","Discrete BCS-3J	
Shoaib Raza","Discrete BCS-3D
Shoaib Raza","IS BCS-7H
Dr. Aqsa Aslam","IA BCY-7A
Ali Naseer","Discrete BCS-3B
Shoaib Raza","Discrete BCS-3G
Shoaib Raza",
R-11 Academic Block I (50),"CV BAI-7A
Saif ur Rehman","PPIT BCS-7G
Bilal Ahsan","Discrete BDS-3B
Dr. Fahad Samad","Discrete BDS-3A
Dr. Fahad Samad","NLP BAI-7B
Saeeda Kanwal","PDC BCY-7B
Farooq Zaidi",,,
R-12 Academic Block I (70),"C. Const.  BCS-7A
Syed Faisal Ali","DLP BCS-7A
Dr. Maria","PPIT BCS-7F
Tahira Iftikhar (VF)","IS BCS-7A
Dr. Nadeem Kafi","DLP BCS-7A
Dr. Maria","PPIT BCS-7A
Aashir Mehboob","SSD BCY-7B
Abeer Gauher","C. Const.  BCS-7A
Syed Faisal Ali","DLD BCS-3A
Dr. Rabia Tabassum "
R-109 Academic Block I (50),Reserved for TGD TLC Till 21st November,,,,,,,,
A-1 Academic Block II (50),"DAA BCS-5A
Muhammad Kashif","GT BCS-5A (A-E)
Moheez-UR-Rahim","DS BCS-3K
Mubashra Fayyaz","SDA BCS-5G
Sobia Iftikhar","DAA BCS-5D
Dr. Nasir Uddin","DAA BCS-5C
Dr. Nasir Uddin",,"TOA BCS-3K
Shahar Bano ",
A-2Academic Block II (50),"SDA BCS-5B
Ahmed Qaiser (VF)","WP BCS-5A (A-E)
Ali Fatmi","PPIT BCS-7B
Aashir Mehboob","IS BCS-7F
Rabia Ahmed Ansari","IS BCS-7K
Rabia Ahmed Ansari","DBS BCS-5H
Javeria Farooq","DBS BCS-5B
Javeria Farooq",,
A-3 Academic Block II (50),"NLP BAI-7C
Saeeda Kanwal","SSD BCY-7A
Abuzar Zafar","Intro. to SE BSE-3B
Rubab Manzar","COAL BAI-3A
Ubaidullah","SDA BCS-5A
Engr. Abdul Rahman","DAA BCS-5B
Fahad Sherwani","SDA BCS-5F
Syed Ahmed Khan",,
A-4 Academic Block II (50),Reserved,,,,,,,,
A-5 Academic Block II (50),"SDA BCS-5D
Syed Ahmed Khan","FSPM BCS-5A (A-E)
Ubaid Aftab","SDA BCS-5B
Ahmed Qaiser (VF)","SDA BCS-5J        
Ahmed Qaiser (VF)","DBS BCY-5A
Atiya Jokhio","CN BCS-5F
Shaheer Khan","ME BSFT-3A
Michael Simon","IA BCY-7B
Ali Naseer",
A-6 Academic Block II (50),"TBW BCY-5A
Atifa Batool","OR BCS-5A (All)
Urooj","FOA BSBA-1A
Dr. Sarfaraz Ahmed","Eng-1 BSFT-1D
Sharmeen Ismail",,"ME BSFT-3B
Dr. Mushtaq Ahmed","GT BCS-5C
Moheez-UR-Rahim","ME BSFT-3C
Museara Bhutto",
A-7 Academic Block II (50),"IS BCS-7E
Shaheer Khan",,"IS BSE-7A
Dr. Aqsa Aslam","BF BSFT-3B
Zehra","COAL BCS-3C
Dr. Rabia Tabassum ","COAL BCS-3J        
Dr. Rabia Tabassum ","LA BCS-3J
Uzma Saleh","FE BSBA-1A
Atifa Batool","FE BSBA-1A
Atifa Batool"
A-8 Academic Block II (53),"IT in Business 
BSFT-1D
Huzaifa Khan (VF)","IT in Business 
  BSFT-1D
Huzaifa Khan (VF)","Eng-1 BSFT-1A
Sharmeen Ismail","IT in Business 
BSFT-1A
Ali Asad Shah","BM1 BSFT-1C
Dr. Khusro Mian","IST BSFT-1C
Muhammad Hasham","IST BSFT-1D
Muhammad Hasham",,
B-9 Academic Block II (53),"FOA BSFT-1B
Dr. Mohsin Ali","FOA BSFT-1B
Dr. Mohsin Ali","FOA BSFT-1D
Zehra","Entrep BAI-7A
Umer Farooq","IT in Business 
BSFT-1B
Ali Asad Shah","MM BSFT-1E
Museara Bhutto","BM1 BSFT-1B
Dr. Khusro Mian",,
